sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,em,ml,mu,sample,subtype,quality,caltype
ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.273,0.019,-8.2,0.0213,0.0021,1.573e-05,,0.237,0.006,0.0,N/A,-1.0,-1.0,,,,,10.74,,10.6,10.91,CSPII,Ia,0.335,none
ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.704,0.123,13.3,0.0275,0.0028,-1.85e-05,,0.013,0.078,0.0,N/A,-1.0,-1.0,,,,,10.65,,10.46,10.73,CSPII,Ia,0.977,none
ASAS14lt,0.0320233,0.0314552,0.947,0.008,17.065,0.039,1.1,0.0474,0.0047,-2.46e-05,,-0.034,0.016,0.0,N/A,-1.0,-1.0,,,,,10.64,,10.56,10.7,CSPII,Ia,0.984,none
ASAS14lw,0.0208855,0.0202609,1.156,0.009,16.494,0.05,-4.5,0.0117,0.0012,6.978e-05,,-0.01,0.011,0.0,N/A,-1.0,-1.0,,,,,6.35,,6.08,6.72,CSPII,Ia,0.939,none
ASAS14me,0.0178,0.017386,1.078,0.005,15.859,0.066,6.2,0.0175,0.0018,1.135e-05,,0.001,0.006,0.0,N/A,-1.0,-1.0,,,,,9.05,,8.91,9.15,CSPII,Ia,0.981,none
ASAS14mf,0.03108,0.0301521,0.982,0.005,16.94,0.122,21.0,0.0125,0.0013,-2.852e-05,,-0.022,0.011,0.0,N/A,-1.0,-1.0,,,,,8.93,,8.66,9.03,CSPII,Ia,0.984,none
ASAS14mw,0.0273867,0.0271207,1.063,0.007,16.753,0.021,0.0,0.0179,0.0018,2.861e-06,,-0.042,0.005,0.0,N/A,-1.0,-1.0,,,,,10.68,,10.59,10.75,CSPII,Ia,0.984,none
ASAS14my,0.0205,0.0217279,0.921,0.005,16.243,0.024,-3.7,0.0316,0.0032,-4.453e-06,,0.007,0.01,0.0,N/A,-1.0,-1.0,,,,,10.31,,10.11,10.74,CSPII,Ia,0.975,none
ASAS15aj,0.0109133,0.0120218,0.83,0.007,14.783,0.035,1.8,0.0656,0.0066,-3.267e-06,,0.095,0.009,0.0,N/A,-1.0,-1.0,,,,,11.2,,11.05,11.35,CSPII,Ia,0.952,none
ASAS15al,0.0337766,0.0337612,1.079,0.027,17.66,0.032,24.0,0.0293,0.0029,4.597e-05,,0.043,0.059,0.0,N/A,-1.0,-1.0,,,,,8.07,,8.03,8.23,CSPII,Ia,0.916,none
ASAS15as,0.0286801,0.0297845,1.077,0.014,17.161,0.046,16.3,0.0398,0.004,2.109e-05,,0.018,0.008,0.0,N/A,-1.0,-1.0,,,,,7.66,,7.47,8.01,CSPII,Ia,0.985,none
ASAS15ba,0.0231167,0.0239771,0.965,0.004,16.583,0.069,9.6,0.0223,0.0022,9.547e-07,,0.0,0.006,0.0,N/A,-1.0,-1.0,,,,,7.99,,7.83,8.19,CSPII,Ia,0.983,none
ASAS15be,0.0218833,0.0213892,1.14,0.005,16.421,0.021,4.5,0.0167,0.0017,1.929e-05,,0.008,0.006,0.0,N/A,-1.0,-1.0,,,,,7.8,,7.66,8.16,CSPII,Ia,0.976,none
ASAS15bm,0.0207856,0.0214395,0.989,0.005,16.196,0.024,0.0,0.069,0.0069,1.258e-06,,0.119,0.01,0.0,N/A,-1.0,-1.0,,,,,10.02,,9.89,10.15,CSPII,Ia,0.976,none
ASAS15cb,0.04001,0.0411361,1.088,0.052,17.269,0.087,6.7,0.0279,0.0028,0.0005123,,0.102,0.079,0.0,N/A,-1.0,-1.0,,,,,10.28,,10.17,10.4,CSPII,Ia,0.583,none
ASAS15cd,0.0342863,0.0353887,1.001,0.005,17.424,0.018,1.1,0.0261,0.0026,5.891e-07,,-0.03,0.009,0.0,N/A,-1.0,-1.0,,,,,9.95,,9.85,10.02,CSPII,Ia,0.983,none
ASAS15db,0.01099,0.0113676,0.953,0.003,15.019,0.043,17.5,0.029,0.0029,-9.734e-06,,0.078,0.007,0.0,N/A,-1.0,-1.0,,,,,10.11,,9.98,10.19,CSPII,Ia,0.975,none
ASAS15dd,0.0243567,0.0247417,0.849,0.006,16.492,0.047,14.7,0.0461,0.0046,-1.734e-05,,-0.017,0.009,0.0,N/A,-1.0,-1.0,,,,,10.41,,10.31,10.52,CSPII,Ia,0.962,none
ASAS15fr,0.0334133,0.0345082,0.905,0.021,17.321,0.075,5.1,0.0321,0.0032,-6.911e-05,,-0.147,0.066,0.0,N/A,-1.0,-1.0,,,,,9.98,,9.89,10.06,CSPII,Ia-91T,0.978,none
ASAS15ga,0.0066267,0.0076517,0.5,0.031,14.693,0.122,-1.8,0.0236,0.0024,0.0004673,,0.421,0.051,0.0,N/A,-1.0,-1.0,,,,,10.38,,10.18,10.48,CSPII,Ia-91bg,0.966,none
ASAS15go,0.01891,0.0192546,1.072,0.011,16.316,0.036,0.7,0.1369,0.0137,2.939e-06,,0.214,0.006,0.0,N/A,-1.0,-1.0,,,,,10.18,,10.04,10.27,CSPII,Ia,0.981,none
ASAS15gr,0.0242832,0.0247678,1.031,0.006,16.618,0.066,15.3,0.0823,0.0082,-2.366e-06,,-0.046,0.006,0.0,N/A,-1.0,-1.0,,,,,8.94,,8.82,9.02,CSPII,Ia,0.983,none
ASAS15hf,0.0061733,0.0072452,0.939,0.005,14.151,0.086,4.8,0.0854,0.0085,-4.213e-06,,0.004,0.01,0.0,N/A,-1.0,-1.0,,,,,9.56,,9.39,9.97,CSPII,Ia,0.961,none
ASAS15hg,0.02975,0.0308678,0.824,0.02,17.161,0.088,9.2,0.041,0.0041,-5.983e-05,,0.048,0.061,0.0,N/A,-1.0,-1.0,,,,,10.42,,10.3,10.51,CSPII,Ia,0.985,none
ASAS15hx,0.0083,0.0092051,1.034,0.004,13.95,0.017,-6.5,0.0415,0.0042,-1.624e-06,,-0.035,0.005,0.0,N/A,-1.0,-1.0,,,,,7.45,,7.06,7.89,CSPII,Ia,0.909,none
CSP12G,0.0369744,0.0379661,1.158,0.029,17.489,0.081,13.8,0.0283,0.0028,0.0002959,,0.109,0.075,0.0,N/A,-1.0,-1.0,,,,,8.41,,8.29,8.49,CSPII,Ia,0.985,none
CSP12N,0.0971328,0.0982741,1.062,0.011,19.726,0.027,3.7,0.0429,0.0043,1.999e-05,,-0.11,0.008,0.0,N/A,-1.0,-1.0,,,,,7.51,,7.32,7.66,CSPII,Ia,0.985,none
CSP13N,0.04776,0.0487969,1.145,0.024,17.942,0.041,18.0,0.0238,0.0024,0.0002092,,-0.015,0.065,0.0,N/A,-1.0,-1.0,,,,,10.07,,9.88,10.24,CSPII,Ia-91T,0.976,none
CSP13V,0.0599585,0.0611394,1.069,0.049,18.529,0.082,21.5,0.0474,0.0047,0.002391,,-0.075,0.114,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.987,none
CSP13Z,0.0788454,0.0800694,1.215,0.017,19.052,0.047,-2.4,0.0484,0.0048,0.0002021,,-0.026,0.012,0.0,N/A,-1.0,-1.0,,,,,8.35,,8.25,8.85,CSPII,Ia-91T,0.98,none
CSP13aad,0.0868,0.0865709,1.193,0.035,19.239,0.07,16.0,0.0206,0.0021,0.0006131,,0.029,0.073,0.0,N/A,-1.0,-1.0,,,,,9.65,,9.59,9.8,CSPII,Ia,0.979,none
CSP13aaf,0.0775863,0.0787193,1.131,0.015,18.695,0.08,8.2,0.0222,0.0022,0.000163,,-0.056,0.008,0.0,N/A,-1.0,-1.0,,,,,10.66,,10.53,11.04,CSPII,Ia,0.978,none
CSP13aao,0.0613575,0.0616022,0.7,0.051,18.672,0.18,4.1,0.0444,0.0044,-0.003077,,0.123,0.088,0.0,N/A,-1.0,-1.0,,,,,9.93,,9.8,10.09,CSPII,Ia,0.978,none
CSP13aaq,0.0597586,0.0597706,0.984,0.007,18.614,0.042,-2.2,0.0293,0.0029,-4.065e-06,,-0.057,0.012,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.969,none
CSP13aay,0.0589592,0.0587551,1.142,0.012,18.694,0.024,4.2,0.0159,0.0016,2.323e-05,,0.037,0.009,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.955,none
CSP13abl,0.0403721,0.0406288,0.812,0.05,18.429,0.066,0.3,0.0862,0.0086,-0.0008417,,1.061,0.063,0.0,N/A,-1.0,-1.0,,,,,8.91,,8.9,9.04,CSPII,Ia,0.42,none
CSP13abs,0.0771466,0.0783462,1.22,0.018,18.995,0.055,2.4,0.0208,0.0021,2.425e-05,,-0.062,0.016,0.0,N/A,-1.0,-1.0,,,,,6.36,,6.23,6.48,CSPII,Ia-91T,0.983,none
CSP14aar,0.0421708,0.0423854,0.982,0.01,17.743,0.124,14.5,0.0934,0.0093,1.335e-05,,-0.016,0.009,0.0,N/A,-1.0,-1.0,,,,,9.07,,8.9,9.42,CSPII,Ia,0.986,none
CSP14abk,0.0797448,0.0797387,0.963,0.025,18.255,0.07,1.9,0.0663,0.0066,-0.0001332,,0.082,0.028,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.0,none
CSP14abn,0.0225,0.0232746,1.004,0.004,16.32,0.016,3.3,0.0747,0.0075,-1.471e-05,,-0.036,0.004,0.0,N/A,-1.0,-1.0,,,,,9.75,,9.59,10.24,CSPII,Ia,0.976,none
CSP14acy,0.0663741,0.0660269,1.215,0.035,18.315,0.119,11.3,0.0174,0.0017,0.0004175,,0.085,0.072,0.0,N/A,-1.0,-1.0,,,,,8.19,,7.86,8.33,CSPII,Ia-91T,0.027,none
CSP14adc,0.03244,0.031651,0.815,0.009,17.355,0.038,1.1,0.0949,0.0095,-5.71e-05,,0.219,0.011,0.0,N/A,-1.0,-1.0,,,,,10.81,,10.67,11.14,CSPII,Ia,0.976,none
CSP14ade,0.0624568,0.0626358,1.181,0.012,18.472,0.067,16.2,0.077,0.0077,0.0001968,,0.034,0.011,0.0,N/A,-1.0,-1.0,,,,,10.49,,10.33,10.97,CSPII,Ia-91T,0.963,none
CSP15B,0.0198862,0.0208198,0.72,0.006,16.198,0.031,-0.1,0.0641,0.0064,7.99e-06,,0.132,0.011,0.0,N/A,-1.0,-1.0,,,,,10.95,,10.78,11.42,CSPII,Ia,0.966,none
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.168,0.035,11.4,0.0226,0.0023,1.934e-05,,0.455,0.011,0.0,NGC5490,34.267,0.08,9.028,0.023,0.0,0.0,11.14,0.08,11.06,11.22,N/A,N/A,0.0,s
KISS13j,0.0765333,0.0776331,0.872,0.028,18.651,0.365,14.1,0.0326,0.0033,-0.0002922,,0.132,0.022,0.0,N/A,-1.0,-1.0,,,,,9.83,,9.65,10.21,CSPII,Ia,0.963,none
KISS13l,0.1320086,0.1330018,1.106,0.064,20.403,0.128,6.3,0.0137,0.0014,-0.0007484,,-0.033,0.088,0.0,N/A,-1.0,-1.0,,,,,8.69,,8.32,8.85,CSPII,Ia,0.987,none
KISS13v,0.0954,0.0962132,0.985,0.015,19.57,0.12,8.4,0.0195,0.002,0.0001381,,0.085,0.018,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.98,none
KISS15m,0.02432,0.0253844,0.429,0.009,17.634,0.042,-8.6,0.0277,0.0028,0.0001007,,0.62,0.031,0.0,N/A,-1.0,-1.0,,,,,9.78,,9.67,9.94,CSPII,Ia-91bg,0.958,none
KISS15n,0.023084,0.0239783,1.241,0.009,16.2,0.085,5.9,0.0088,0.0009,3.673e-05,,0.102,0.009,0.0,N/A,-1.0,-1.0,,,,,8.0,,7.8,8.17,CSPII,Ia-91T,0.85,none
LSQ11bk,0.0402721,0.0400251,1.071,0.015,17.843,0.027,3.9,0.0936,0.0094,6.555e-06,,-0.079,0.011,0.0,N/A,-1.0,-1.0,,,,,6.53,,6.5,6.59,CSPII,Ia,0.967,none
LSQ11ot,0.02732,0.0273222,0.982,0.003,17.363,0.022,4.2,0.1581,0.0158,-4.279e-06,,0.318,0.006,0.0,N/A,-1.0,-1.0,,,,,10.17,,10.0,10.22,CSPII,Ia,0.976,none
LSQ11pn,0.0326533,0.0326611,0.507,0.008,17.461,0.034,-3.0,0.1457,0.0146,-6.847e-06,,0.285,0.018,0.0,N/A,-1.0,-1.0,,,,,10.7,,10.52,10.8,CSPII,Ia,0.948,none
LSQ12agq,0.0641556,0.0653581,1.152,0.027,18.855,0.097,12.7,0.0371,0.0037,0.0002442,,0.084,0.074,0.0,N/A,-1.0,-1.0,,,,,9.3,,9.29,9.43,CSPII,Ia,0.986,none
LSQ12aor,0.0933354,0.0945588,0.827,0.021,19.579,0.052,4.2,0.0415,0.0042,-0.0003686,,-0.088,0.026,0.0,N/A,-1.0,-1.0,,,,,9.85,,9.67,10.15,CSPII,Ia,0.986,none
LSQ12bld,0.0833623,0.084303,0.892,0.01,19.45,0.035,0.7,0.0233,0.0023,-2.029e-05,,0.101,0.016,0.0,N/A,-1.0,-1.0,,,,,10.55,,10.42,10.64,CSPII,Ia,0.987,none
LSQ12btn,0.0541733,0.0552706,0.832,0.009,18.478,0.03,2.7,0.0333,0.0033,-1.16e-08,,0.098,0.011,0.0,N/A,-1.0,-1.0,,,,,10.9,,10.84,10.94,CSPII,Ia,0.986,none
LSQ12cda,0.1374948,0.1384035,0.814,0.105,20.195,0.182,10.4,0.0284,0.0028,-0.01232,,0.087,0.119,0.0,N/A,-1.0,-1.0,,,,,9.82,,9.69,9.98,CSPII,Ia,0.859,none
LSQ12cdl,0.1079253,0.1090245,0.988,0.045,19.834,0.081,7.9,0.0492,0.0049,-0.0004967,,-0.143,0.075,0.0,N/A,-1.0,-1.0,,,,,8.81,,8.79,8.93,CSPII,Ia,0.986,none
LSQ12fuk,0.0205857,0.0205571,1.003,0.006,16.279,0.059,5.5,0.0714,0.0071,-2.745e-05,,-0.009,0.012,0.0,N/A,-1.0,-1.0,,,,,8.34,,8.2,8.45,CSPII,Ia,0.982,none
LSQ12fvl,0.05593,0.055977,0.61,0.008,18.782,0.035,-4.2,0.0179,0.0018,3.337e-05,,0.251,0.016,0.0,N/A,-1.0,-1.0,,,,,10.74,,10.55,10.93,CSPII,Ia,0.981,none
LSQ12fxd,0.03122,0.0313344,1.161,0.006,16.94,0.027,-5.2,0.0217,0.0022,3.892e-05,,-0.008,0.006,0.0,N/A,-1.0,-1.0,,,,,10.28,,10.16,10.4,CSPII,Ia,0.98,none
LSQ12gdj,0.0303033,0.0292813,1.167,0.007,16.835,0.043,4.6,0.0199,0.002,1.695e-05,,-0.035,0.007,0.0,N/A,-1.0,-1.0,,,,,8.66,,8.36,8.76,CSPII,Ia-91T,0.969,none
LSQ12gln,0.1020294,0.1021611,1.113,0.02,19.685,0.027,0.7,0.0201,0.002,7.016e-05,,-0.072,0.012,0.0,N/A,-1.0,-1.0,,,,,8.75,,8.6,9.07,CSPII,Ia,0.986,none
LSQ12hno,0.0472673,0.0468084,0.989,0.015,18.146,0.03,4.5,0.0994,0.0099,-0.0001156,,0.046,0.01,0.0,N/A,-1.0,-1.0,,,,,7.7,,7.64,7.9,CSPII,Ia,0.983,none
LSQ12hnr,0.1243,0.1255265,1.167,0.038,20.019,0.074,6.9,0.0324,0.0032,0.00028,,0.005,0.067,0.0,N/A,-1.0,-1.0,,,,,8.05,,7.93,8.16,CSPII,Ia,0.982,none
LSQ12hvj,0.0712507,0.0723911,1.206,0.014,19.156,0.021,-1.5,0.0458,0.0046,3.503e-05,,0.08,0.009,0.0,N/A,-1.0,-1.0,,,,,9.05,,8.79,9.22,CSPII,Ia,0.986,none
LSQ12hxx,0.06936,0.0689135,1.204,0.023,18.848,0.04,3.1,0.0153,0.0015,0.000194,,0.077,0.017,0.0,N/A,-1.0,-1.0,,,,,10.45,,10.28,10.58,CSPII,Ia,0.986,none
LSQ12hzj,0.0334,0.0345752,0.97,0.004,17.328,0.027,0.5,0.0569,0.0057,-4.499e-06,,-0.07,0.007,0.0,N/A,-1.0,-1.0,,,,,9.35,,9.32,9.73,CSPII,Ia,0.985,none
LSQ12hzs,0.07208,0.0718169,1.145,0.012,19.052,0.029,-1.8,0.0227,0.0023,3.74e-06,,0.1,0.011,0.0,N/A,-1.0,-1.0,,,,,10.02,,9.88,10.42,CSPII,Ia,0.985,none
LSQ13abo,0.0674467,0.0681328,0.877,0.019,19.015,0.047,0.5,0.0906,0.0091,-7.046e-05,,0.205,0.028,0.0,N/A,-1.0,-1.0,,,,,10.31,,10.04,10.34,CSPII,Ia,0.986,none
LSQ13cwp,0.0666,0.0662474,0.94,0.016,18.906,0.046,-0.1,0.1326,0.0133,-2.058e-05,,0.086,0.02,0.0,N/A,-1.0,-1.0,,,,,10.54,,10.39,10.7,CSPII,Ia,0.986,none
LSQ13dby,0.0999308,0.0995683,1.14,0.014,19.882,0.026,-1.1,0.0093,0.0009,2.286e-06,,-0.044,0.009,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.865,none
LSQ13dcy,0.0801,0.0800671,1.213,0.042,19.435,0.079,3.8,0.0408,0.0041,-0.0003038,,0.095,0.023,0.0,N/A,-1.0,-1.0,,,,,9.18,,9.01,9.34,CSPII,Ia,0.929,none
LSQ13dhj,0.0935,0.0929027,1.16,0.019,19.576,0.114,6.1,0.0132,0.0013,0.0002387,,0.057,0.019,0.0,N/A,-1.0,-1.0,,,,,8.63,,8.27,8.78,CSPII,Ia,0.985,none
LSQ13dkp,0.0689367,0.0685268,0.657,0.008,19.03,0.047,-1.1,0.0145,0.0015,-4.893e-05,,0.019,0.013,0.0,N/A,-1.0,-1.0,,,,,10.8,,10.61,10.92,CSPII,Ia,0.963,none
LSQ13dpm,0.0508648,0.0520617,1.055,0.009,18.24,0.015,-2.1,0.0529,0.0053,2.735e-06,,-0.013,0.005,0.0,N/A,-1.0,-1.0,,,,,9.17,,9.06,9.6,CSPII,Ia,0.984,none
LSQ13dqh,0.1038,0.1035425,1.197,0.02,19.923,0.034,1.3,0.0501,0.005,-6.245e-05,,-0.039,0.016,0.0,N/A,-1.0,-1.0,,,,,11.5,,11.5,11.5,CSPII,Ia,0.969,none
LSQ13dsm,0.0423707,0.0419767,0.908,0.004,17.886,0.082,0.8,0.0088,0.0009,-2.506e-06,,-0.024,0.008,0.0,N/A,-1.0,-1.0,,,,,9.01,,8.85,9.14,CSPII,Ia,0.984,none
LSQ13lq,0.0755477,0.0765051,1.054,0.012,18.833,0.062,5.6,0.0215,0.0022,3.012e-05,,-0.076,0.006,0.0,N/A,-1.0,-1.0,,,,,8.44,,8.0,8.63,CSPII,Ia,0.951,none
LSQ13pf,0.0860404,0.0870045,0.917,0.038,19.404,0.082,6.9,0.0558,0.0056,-0.0004531,,0.216,0.072,0.0,N/A,-1.0,-1.0,,,,,10.26,,10.14,10.44,CSPII,Ia-91T,0.957,none
LSQ13ry,0.0298367,0.031032,0.88,0.006,17.231,0.056,-7.7,0.0403,0.004,1.265e-05,,-0.05,0.011,0.0,N/A,-1.0,-1.0,,,,,9.64,,9.54,9.7,CSPII,Ia,0.971,none
LSQ13vy,0.0417711,0.0421068,0.892,0.005,17.737,0.087,9.8,0.0676,0.0068,-8.145e-06,,0.075,0.008,0.0,N/A,-1.0,-1.0,,,,,10.17,,10.15,10.33,CSPII,Ia,0.985,none
LSQ14act,0.05905,0.0594518,0.701,0.008,18.728,0.029,1.1,0.2269,0.0227,-8.173e-05,,-0.002,0.011,0.0,N/A,-1.0,-1.0,,,,,10.17,,10.07,10.61,CSPII,Ia,0.976,none
LSQ14age,0.0805442,0.0815802,1.115,0.014,19.435,0.044,-4.3,0.0576,0.0058,3.984e-05,,-0.019,0.013,0.0,N/A,-1.0,-1.0,,,,,8.42,,8.33,8.59,CSPII,Ia,0.976,none
LSQ14ahc,0.0508648,0.0517592,1.252,0.01,18.098,0.03,-2.9,0.0461,0.0046,8.228e-06,,-0.02,0.011,0.0,N/A,-1.0,-1.0,,,,,9.13,,8.89,9.62,CSPII,Ia,0.986,none
LSQ14ahm,0.0497655,0.0509869,1.161,0.009,18.121,0.034,-5.8,0.0274,0.0027,6.656e-06,,-0.059,0.011,0.0,N/A,-1.0,-1.0,,,,,8.2,,8.03,8.37,CSPII,Ia,0.986,none
LSQ14asu,0.0683967,0.069594,0.775,0.012,19.093,0.076,4.4,0.0372,0.0037,-1.67e-05,,0.004,0.011,0.0,N/A,-1.0,-1.0,,,,,10.67,,10.51,10.86,CSPII,Ia,0.927,none
LSQ14auy,0.0824129,0.0832263,1.136,0.014,19.339,0.025,0.5,0.0669,0.0067,-1.237e-05,,-0.009,0.011,0.0,N/A,-1.0,-1.0,,,,,10.74,,10.61,11.19,CSPII,Ia,0.987,none
LSQ14ba,0.0775463,0.0787677,0.959,0.006,19.242,0.031,-0.2,0.0493,0.0049,-3.261e-06,,0.034,0.013,0.0,N/A,-1.0,-1.0,,,,,9.47,,9.3,9.87,CSPII,Ia,0.986,none
LSQ14bjj,0.0811438,0.0819882,0.996,0.008,19.125,0.02,1.1,0.0408,0.0041,-1.8e-05,,-0.082,0.009,0.0,N/A,-1.0,-1.0,,,,,8.46,,8.3,8.91,CSPII,Ia,0.986,none
LSQ14fms,0.077946,0.0773231,0.849,0.015,19.261,0.073,3.3,0.0143,0.0014,-0.000218,,0.165,0.016,0.0,N/A,-1.0,-1.0,,,,,10.11,,10.0,10.49,CSPII,Ia,0.986,none
LSQ14foj,0.0460667,0.0451705,1.015,0.01,17.933,0.048,-6.2,0.0121,0.0012,2.902e-05,,0.047,0.011,0.0,N/A,-1.0,-1.0,,,,,8.44,,8.33,8.7,CSPII,Ia,0.986,none
LSQ14fom,0.05626,0.0553279,0.947,0.009,18.303,0.04,-2.6,0.0184,0.0018,3.394e-06,,0.021,0.011,0.0,N/A,-1.0,-1.0,,,,,9.54,,9.4,9.72,CSPII,Ia,0.978,none
LSQ14gfb,0.0527067,0.0527873,0.605,0.035,18.789,0.093,5.8,0.0159,0.0016,-0.0006095,,0.526,0.064,0.0,N/A,-1.0,-1.0,,,,,10.3,,10.11,10.64,CSPII,Ia,0.985,none
LSQ14gfn,0.1216158,0.1210925,0.991,0.023,20.083,0.054,-3.3,0.0332,0.0033,0.0001554,,0.037,0.021,0.0,N/A,-1.0,-1.0,,,,,10.54,,10.42,10.88,CSPII,Ia,0.967,none
LSQ14ghv,0.0666539,0.0662566,0.949,0.009,18.887,0.041,4.0,0.0088,0.0009,-7.331e-05,,-0.022,0.011,0.0,N/A,-1.0,-1.0,,,,,10.18,,10.06,10.31,CSPII,Ia,0.981,none
LSQ14gov,0.089538,0.0892443,1.141,0.008,19.306,0.028,-1.5,0.0357,0.0036,1.23e-05,,-0.105,0.009,0.0,N/A,-1.0,-1.0,,,,,9.02,,8.85,9.19,CSPII,Ia,0.985,none
LSQ14ie,0.089538,0.0905466,1.155,0.01,19.514,0.05,-1.3,0.0717,0.0072,4.065e-05,,-0.023,0.011,0.0,N/A,-1.0,-1.0,,,,,8.08,,7.95,8.21,CSPII,Ia,0.983,none
LSQ14ip,0.0612967,0.0624196,0.522,0.009,18.989,0.079,-7.7,0.0373,0.0037,-2.856e-05,,0.345,0.021,0.0,N/A,-1.0,-1.0,,,,,10.18,,10.01,10.31,CSPII,Ia,0.987,none
LSQ14jp,0.04539,0.0464896,0.677,0.007,18.157,0.093,9.4,0.053,0.0053,-0.0001015,,0.123,0.009,0.0,N/A,-1.0,-1.0,,,,,10.54,,10.48,10.81,CSPII,Ia,0.986,none
LSQ14mc,0.05662,0.0575661,0.964,0.004,18.438,0.095,7.0,0.0207,0.0021,-1.833e-06,,-0.029,0.006,0.0,N/A,-1.0,-1.0,,,,,9.17,,9.16,9.43,CSPII,Ia,0.986,none
LSQ14q,0.0669503,0.067871,0.958,0.004,18.819,0.026,-2.1,0.0198,0.002,1.16e-06,,-0.047,0.008,0.0,N/A,-1.0,-1.0,,,,,9.32,,8.92,9.42,CSPII,Ia,0.987,none
LSQ14wp,0.0694519,0.0706148,1.138,0.011,18.799,0.035,-3.0,0.0207,0.0021,2.856e-05,,-0.05,0.01,0.0,N/A,-1.0,-1.0,,,,,7.48,,7.23,7.59,CSPII,Ia-91T,0.984,none
LSQ14xi,0.0507429,0.0519014,1.142,0.011,18.395,0.035,-3.9,0.0368,0.0037,9.875e-05,,0.212,0.011,0.0,N/A,-1.0,-1.0,,,,,10.9,,10.77,11.07,CSPII,Ia,0.986,none
LSQ15aae,0.0515643,0.0517701,1.226,0.008,18.363,0.02,0.4,0.0616,0.0062,-2.144e-07,,0.079,0.008,0.0,N/A,-1.0,-1.0,,,,,10.27,,10.1,10.46,CSPII,Ia-91T,0.982,none
LSQ15agh,0.0599585,0.0610193,1.14,0.008,18.614,0.02,2.1,0.0216,0.0022,1.271e-05,,-0.036,0.008,0.0,N/A,-1.0,-1.0,,,,,9.87,,9.72,9.99,CSPII,Ia,0.987,none
LSQ15aja,0.0699516,0.0699657,1.027,0.01,18.777,0.021,-4.4,0.0545,0.0054,1.961e-05,,-0.092,0.009,0.0,N/A,-1.0,-1.0,,,,,7.46,,7.34,7.58,CSPII,Ia,0.984,none
